BusID,BusType,Voltage_pu,Angle_deg,PInjection_MW,QInjection_Mvar,PgCalculated_MW,QgCalculated_Mvar,Pd_MW,Qd_Mvar,VoltageStatus
1,SLACK,1.06,0,232.393272357899,-16.5493005413888,232.393272357899,-16.5493005413888,0,0,OK
2,PV,1.045,-4.98258914197503,18.3000000000001,30.857100139512,40.0000000000001,43.557100139512,21.7,12.7,OK
3,PV,1.01,-12.725099938268,-94.1999999999999,6.07534849912217,1.4210854715202e-13,25.0753484991222,94.2,19,OK
4,PQ,1.01767085369176,-10.3129010923316,-47.8000000000005,3.89999999999918,-5.25801624462474e-13,-8.21565038222616e-13,47.8,-3.9,OK
5,PQ,1.01951385981906,-8.77385389829537,-7.59999999999986,-1.5999999999996,1.4388490399142e-13,4.02788913334007e-13,7.6,1.6,OK
6,PV,1.07,-14.2209464637021,-11.1999999999998,5.23094440728081,1.95399252334028e-13,12.7309444072808,11.2,7.5,HIGH
7,PQ,1.06151953249094,-13.3596273653463,9.17305061125393e-14,-2.17849955081729e-14,9.17305061125393e-14,-2.17849955081729e-14,0,0,HIGH
8,PV,1.09,-13.3596273653463,1.38777878078145e-14,17.6234513680824,1.38777878078145e-14,17.6234513680824,0,0,HIGH
9,PQ,1.05593172063697,-14.9385212952291,-29.5000000000001,-16.5999999999999,-8.17124146124115e-14,1.10134124042816e-13,29.5,16.6,OK
10,PQ,1.05098462499985,-15.0972884630711,-9.00000000000008,-5.80000000000013,-7.99360577730113e-14,-1.33226762955019e-13,9,5.8,OK
11,PQ,1.05690651854036,-14.7906220313216,-3.50000000000004,-1.80000000000016,-3.50830475781549e-14,-1.64535052249448e-13,3.5,1.8,OK
12,PQ,1.0551885631971,-15.0755845204244,-6.10000000000002,-1.60000000000013,-2.1316282072803e-14,-1.29007915461443e-13,6.1,1.6,OK
13,PQ,1.05038171362859,-15.156276336222,-13.5000000000001,-5.80000000000005,-1.36779476633819e-13,-4.79616346638068e-14,13.5,5.8,OK
14,PQ,1.03552994585357,-16.0336445292056,-14.8999999999999,-4.99999999999998,1.15463194561016e-13,2.48689957516035e-14,14.9,5,OK
